Location_ID,Location_Name,Location_Setting,Location_Description,County,Coordinate_System,Latitude_Decimal_Degrees,Longitude_Decimal_Degrees,Horizontal_Coordinates_Represent,Horizontal_Datum,Horizontal_Coordinate_Accuracy,Horizontal_Coordinate_Collection_Method,Paper_Map_Scale
"LinGr","Lind Coulee B, Grant","Lake/Pond/Reservoir","Lind Coulee B, Grant","Grant","LAT/LONG","46.985058","-119.241104","99","1","99","13","1"
"LitSk","Little Cranberry Lake, Skagit","Lake/Pond/Reservoir","Little Cranberry Lake, Skagit","Skagit","LAT/LONG","48.493633","-122.644039","99","1","99","13","1"
"LomSn","Lake Loma, Snohomish","Lake/Pond/Reservoir","Lake Loma, Snohomish","Snohomish","LAT/LONG","48.133867","-122.252617","99","1","99","13","1"
"LonIs","Lone Lake, Island","Lake/Pond/Reservoir","Lone Lake, Island","Island","LAT/LONG","48.021125","-122.461805","99","1","99","13","1"
"LonKi","Long Lake, Kitsap","Lake/Pond/Reservoir","Long Lake, Kitsap","Kitsap","LAT/LONG","47.483154","-122.589828","99","1","99","13","1"
"LonTh","Long Lake, Thurston","Lake/Pond/Reservoir","Long Lake, Thurston","Thurston","LAT/LONG","47.019149","-122.774760","99","1","99","13","1"
"LorKi","Lake Lorene, King","Lake/Pond/Reservoir","Lake Lorene, King","King","LAT/LONG","47.311916","-122.387678","99","1","99","13","1"
"LosMa","Lost Lake, Mason","Lake/Pond/Reservoir","Lost Lake, Mason","Mason","LAT/LONG","","","99","1","99","13","1"
"LosSn","Lost Lake, Snohomish","Lake/Pond/Reservoir","Lost Lake, Snohomish","Snohomish","LAT/LONG","47.800660","-122.042770","99","1","99","13","1"
"LouPi","Lake Louise, Pierce","Lake/Pond/Reservoir","Lake Louise, Pierce","Pierce","LAT/LONG","47.161861","-122.567971","99","1","99","13","1"
"LysMa","Lystair (Star) Lake, Mason","Lake/Pond/Reservoir","Lystair (Star) Lake, Mason","Mason","LAT/LONG","47.153787","-123.333604","99","1","99","13","1"
