County,WRIA Number,Site,Lab Sample Number,Collect Date,Parameter,Dominance
Franklin,36,Scootney,L68339-2,07/31/2017,Pediastrum sp.,Present
Franklin,36,Scootney,L68339-2,07/31/2017,Pseudanabaena sp.,Present
Franklin,36,Scootney,L68339-2,07/31/2017,Scenedesmus sp.,Present
Franklin,36,Scootney,L68339-2,07/31/2017,Snowella sp.,Present
Franklin,36,Scootney,L68339-2,07/31/2017,Sphaerocystis sp.,Present
Franklin,36,Scootney,L68339-2,07/31/2017,Staurastrum sp.,Present
Franklin,36,Scootney,L68339-2,07/31/2017,Stephanodiscus sp.,Present
Franklin,36,Scootney,L68339-2,07/31/2017,Woronichinia sp.,Present
Franklin,36,Scootney,L66001-1,08/17/2016,Anabaena: trichome irregularly twisted,Present
Franklin,36,Scootney,L66001-1,08/17/2016,Anabaena: trichome straight,Present
Franklin,36,Scootney,L66001-1,08/17/2016,Cosmarium sp.,Present
Franklin,36,Scootney,L66001-1,08/17/2016,Cyclotella sp.,Present
Franklin,36,Scootney,L66001-1,08/17/2016,Microcystis sp.,Dominant
Franklin,36,Scootney,L66001-1,08/17/2016,Oscillatoria sp.,Subdominant
Franklin,36,Scootney,L66001-1,08/17/2016,Undetermined Diatom: Pennate,Present
Franklin,36,Scootney,L66001-1,08/17/2016,Undetermined Filament,Present
Franklin,36,Scootney,L66001-1,08/17/2016,Woronichinia sp.,Present
Franklin,36,Scootney,L63085-1,06/22/2015,Aphanizomenon sp.,Dominant
Franklin,36,Scootney,L63085-1,06/22/2015,Fragilaria sp.,Present
Franklin,36,Scootney,L63085-1,06/22/2015,Lyngbya-Phormidium Group,Subdominant
Franklin,36,Scootney,L63085-1,06/22/2015,Microcystis sp.,Present
Franklin,36,Scootney,L63085-1,06/22/2015,Oscillatoria sp.,Present
Franklin,36,Scootney,L63085-1,06/22/2015,Pediastrum sp.,Present
Franklin,36,Scootney,L63085-1,06/22/2015,Planktothrix sp.,Present
Franklin,36,Scootney,L63085-1,06/22/2015,Woronichinia sp.,Present
Franklin,36,Scootney,L62988-1,06/08/2015,Lyngbya-Phormidium Group,Present
Franklin,36,Scootney,L62988-1,06/08/2015,Microcystis sp.,Dominant
Franklin,36,Scootney,L62988-1,06/08/2015,Spirogyra sp.,Subdominant
Franklin,36,Scootney,L62988-1,06/08/2015,Synedra sp.,Present
Grant,41,Beverly Island,L48928-1,08/21/2009,Amphora sp.,Present
Grant,41,Beverly Island,L48928-1,08/21/2009,Ankistrodesmus sp.,Present
Grant,41,Beverly Island,L48928-1,08/21/2009,Asterionella,Present
Grant,41,Beverly Island,L48928-1,08/21/2009,Aulacoseira sp.,Present
Grant,41,Beverly Island,L48928-1,08/21/2009,Closterium sp.,Present
Grant,41,Beverly Island,L48928-1,08/21/2009,Cocconeis sp.,Present
Grant,41,Beverly Island,L48928-1,08/21/2009,Cymbella sp.,Present
Grant,41,Beverly Island,L48928-1,08/21/2009,Fragilaria sp.,Dominant
Grant,41,Beverly Island,L48928-1,08/21/2009,Melosira sp.,Present
Grant,41,Beverly Island,L48928-1,08/21/2009,Merismopedia sp.,Present
Grant,41,Beverly Island,L48928-1,08/21/2009,Navicula sp.,Present
Grant,41,Beverly Island,L48928-1,08/21/2009,Oscillatoria sp.,Subdominant
Grant,41,Beverly Island,L48928-1,08/21/2009,Pediastrum sp.,Present
Grant,41,Beverly Island,L48928-1,08/21/2009,Pinnularia sp.,Present
Grant,41,Beverly Island,L48928-1,08/21/2009,Scenedesmus sp.,Present
Grant,41,Beverly Island,L48928-1,08/21/2009,Stauroneis sp.,Present
Grant,41,Beverly Island,L48928-1,08/21/2009,Surirella sp.,Present
Grant,41,Beverly Island,L48928-1,08/21/2009,Synedra sp.,Present
Grant,41,Beverly Island,L48928-1,08/21/2009,Undetermined Filament,Present
Grant,41,Beverly Island,L48928-1,08/21/2009,Woronichinia sp.,Present
Grant,41,BHPark,L54357-2,10/03/2011,Anabaena: trichome irregularly twisted,Present
Grant,41,BHPark,L54357-2,10/03/2011,Aphanizomenon sp.,Present
Grant,41,BHPark,L54357-2,10/03/2011,Aulacoseira sp.,Dominant
Grant,41,BHPark,L54357-2,10/03/2011,Ceratium sp.,Present
Grant,41,BHPark,L54357-2,10/03/2011,Cryptomonas sp.,Present
Grant,41,BHPark,L54357-2,10/03/2011,Fragilaria sp.,Present
Grant,41,BHPark,L54357-2,10/03/2011,Lyngbya sp.,Subdominant
Grant,41,BHPark,L54357-2,10/03/2011,Microcystis sp.,Present
Grant,41,BHPark,L54357-2,10/03/2011,Oocystis sp.,Present
Grant,41,BHPark,L54357-2,10/03/2011,Oscillatoria sp.,Present
Grant,41,BHPark,L54357-2,10/03/2011,Scenedesmus sp.,Present
Grant,41,BHPark,L54357-2,10/03/2011,Sphaerocystis sp.,Present
Grant,41,BHPark,L54357-2,10/03/2011,Staurastrum sp.,Present
Grant,41,BHPark,L54357-2,10/03/2011,Stephanodiscus sp.,Present
Grant,41,BHPark,L54357-2,10/03/2011,Undetermined Pennate Diatom,Present
Grant,41,BHPark,L54357-2,10/03/2011,Unicellular Green 1-3 microns,Present
Grant,41,BHPark,L54357-2,10/03/2011,Woronichinia sp.,Present
Grant,42,Blue,L68477-2,08/21/2017,Anabaena: trichome irregularly twisted,Present
Grant,42,Blue,L68477-2,08/21/2017,Aphanothece sp.,Subdominant
Grant,42,Blue,L68477-2,08/21/2017,Boytryococcus sp.,Present
Grant,42,Blue,L68477-2,08/21/2017,Cryptomonas sp.,Present
Grant,42,Blue,L68477-2,08/21/2017,Cyclotella sp.,Present
Grant,42,Blue,L68477-2,08/21/2017,Cymbella sp.,Present
Grant,42,Blue,L68477-2,08/21/2017,Epithemia sp.,Present
Grant,42,Blue,L68477-2,08/21/2017,Gomphonema sp.,Present
Grant,42,Blue,L68477-2,08/21/2017,Gomphosphaeria sp.,Present
Grant,42,Blue,L68477-2,08/21/2017,Lyngbya sp.,Dominant
Grant,42,Blue,L68477-2,08/21/2017,Microcystis sp.,Present
Grant,42,Blue,L68477-2,08/21/2017,Navicula sp.,Present
Grant,42,Blue,L68477-2,08/21/2017,Oocystis sp.,Present
Grant,42,Blue,L68477-2,08/21/2017,Rhodomonas sp.,Present
Grant,42,Blue,L68477-2,08/21/2017,Scenedesmus sp.,Present
Grant,42,Blue,L68477-2,08/21/2017,Sphaerocystis sp.,Present
Grant,42,Blue,L68477-2,08/21/2017,Stephanodiscus sp.,Present
Grant,42,Blue,L68477-2,08/21/2017,Trachelomonas sp.,Present
Grant,42,Blue,L68477-2,08/21/2017,Undetermined Spherical: 4-7 microns,Present
Grant,41,Cascade Park,L54407-2,10/10/2011,Anabaena: trichome irregularly twisted,Present
Grant,41,Cascade Park,L54407-2,10/10/2011,Anabaena: trichome regularly coiled,Present
Grant,41,Cascade Park,L54407-2,10/10/2011,Aphanizomenon sp.,Dominant
Grant,41,Cascade Park,L54407-2,10/10/2011,Arthrodesmus sp.,Present
Grant,41,Cascade Park,L54407-2,10/10/2011,Asterionella,Present
Grant,41,Cascade Park,L54407-2,10/10/2011,Aulacoseira sp.,Present
Grant,41,Cascade Park,L54407-2,10/10/2011,Ceratium sp.,Subdominant
Grant,41,Cascade Park,L54407-2,10/10/2011,Cryptomonas sp.,Present
Grant,41,Cascade Park,L54407-2,10/10/2011,Fragilaria sp.,Present
Grant,41,Cascade Park,L54407-2,10/10/2011,Lyngbya sp.,Present
Grant,41,Cascade Park,L54407-2,10/10/2011,Scenedesmus sp.,Present
Grant,41,Cascade Park,L54407-2,10/10/2011,Staurastrum sp.,Present
Grant,41,Cascade Park,L54407-2,10/10/2011,Stephanodiscus sp.,Present
Grant,41,Cascade Park,L54407-2,10/10/2011,Undetermined Centric Diatom,Present
Grant,41,Cascade Park,L54407-2,10/10/2011,Woronichinia sp.,Present
Grant,41,County Access,L54407-1,10/10/2011,Anabaena: trichome irregularly twisted,Present
Grant,41,County Access,L54407-1,10/10/2011,Anabaena: trichome regularly coiled,Present
Grant,41,County Access,L54407-1,10/10/2011,Aphanizomenon sp.,Present
Grant,41,County Access,L54407-1,10/10/2011,Asterionella,Present
Grant,41,County Access,L54407-1,10/10/2011,Aulacoseira sp.,Dominant
Grant,41,County Access,L54407-1,10/10/2011,Cryptomonas sp.,Present
Grant,41,County Access,L54407-1,10/10/2011,Fragilaria sp.,Present
Grant,41,County Access,L54407-1,10/10/2011,Microcystis sp.,Present
Grant,41,County Access,L54407-1,10/10/2011,Oocystis sp.,Present
Grant,41,County Access,L54407-1,10/10/2011,Staurastrum sp.,Present
Grant,41,County Access,L54407-1,10/10/2011,Stephanodiscus sp.,Subdominant
Grant,41,County Access,L54407-1,10/10/2011,Unicellular Green 1-3 microns,Present
Grant,41,County Access,L54407-1,10/10/2011,Woronichinia sp.,Present
Grant,41,County Site,L54539-1,10/26/2011,Anabaena: trichome irregularly twisted,Present
Grant,41,County Site,L54539-1,10/26/2011,Aphanizomenon sp.,Present
Grant,41,County Site,L54539-1,10/26/2011,Asterionella,Present
Grant,41,County Site,L54539-1,10/26/2011,Aulacoseira sp.,Dominant
Grant,41,County Site,L54539-1,10/26/2011,Cryptomonas sp.,Present
Grant,41,County Site,L54539-1,10/26/2011,Fragilaria sp.,Present
Grant,41,County Site,L54539-1,10/26/2011,Microcystis sp.,Present
Grant,41,County Site,L54539-1,10/26/2011,Oocystis sp.,Present
Grant,41,County Site,L54539-1,10/26/2011,Stephanodiscus sp.,Subdominant
Grant,41,County Site,L54539-1,10/26/2011,Synedra sp.,Present
Grant,41,County Site,L54539-1,10/26/2011,Woronichinia sp.,Present
Grant,41,County Site,L54357-1,10/03/2011,Anabaena: trichome irregularly twisted,Present
Grant,41,County Site,L54357-1,10/03/2011,Anabaena: trichome regularly coiled,Present
Grant,41,County Site,L54357-1,10/03/2011,Aphanizomenon sp.,Dominant
Grant,41,County Site,L54357-1,10/03/2011,Aulacoseira sp.,Subdominant
Grant,41,County Site,L54357-1,10/03/2011,Cryptomonas sp.,Present
Grant,41,County Site,L54357-1,10/03/2011,Cymbella sp.,Present
Grant,41,County Site,L54357-1,10/03/2011,Fragilaria sp.,Present
Grant,41,County Site,L54357-1,10/03/2011,Lyngbya sp.,Present
Grant,41,County Site,L54357-1,10/03/2011,Microcystis sp.,Present
Grant,41,County Site,L54357-1,10/03/2011,Oocystis sp.,Present
Grant,41,County Site,L54357-1,10/03/2011,Oscillatoria sp.,Present
Grant,41,County Site,L54357-1,10/03/2011,Schroederia sp.,Present
Grant,41,County Site,L54357-1,10/03/2011,Staurastrum sp.,Present
Grant,41,County Site,L54357-1,10/03/2011,Stephanodiscus sp.,Present
Grant,41,County Site,L54357-1,10/03/2011,Synedra sp.,Present
Grant,41,County Site,L54357-1,10/03/2011,Undetermined Pennate Diatom,Present
Grant,41,County Site,L54357-1,10/03/2011,Unicellular Green 1-3 microns,Present
Grant,41,County Site,L54357-1,10/03/2011,Unicellular Green 4-7 microns,Present
Grant,41,County Site,L54357-1,10/03/2011,Woronichinia sp.,Present
Grant,41,Lind Coulee,L68194-1,07/10/2017,Anabaena: trichome irregularly twisted,Present
Grant,41,Lind Coulee,L68194-1,07/10/2017,Ankyra sp.,Present
Grant,41,Lind Coulee,L68194-1,07/10/2017,Aphanocapsa sp.,Present
Grant,41,Lind Coulee,L68194-1,07/10/2017,Boytryococcus sp.,Dominant
Grant,41,Lind Coulee,L68194-1,07/10/2017,Ceratium sp.,Present
Grant,41,Lind Coulee,L68194-1,07/10/2017,Chroococcus sp.,Present
Grant,41,Lind Coulee,L68194-1,07/10/2017,Cryptomonas sp.,Present
Grant,41,Lind Coulee,L68194-1,07/10/2017,Dinobryon sp.,Present
Grant,41,Lind Coulee,L68194-1,07/10/2017,Encyonema sp.,Present
Grant,41,Lind Coulee,L68194-1,07/10/2017,Gomphonema sp.,Present
Grant,41,Lind Coulee,L68194-1,07/10/2017,Mougeotia sp.,Present
Grant,41,Lind Coulee,L68194-1,07/10/2017,Nitzschia sp.,Present
Grant,41,Lind Coulee,L68194-1,07/10/2017,Sphaerocystis sp.,Subdominant
Grant,41,Lind Coulee,L68194-1,07/10/2017,Stauroneis sp.,Present
Grant,41,Lind Coulee,L68194-1,07/10/2017,Tabellaria sp.,Present
Grant,41,Lind Coulee,L68194-1,07/10/2017,Woronichinia sp.,Present
Grant,41,Lind Coulee,L54721-1,11/28/2011,Anabaena: trichome irregularly twisted,Present
Grant,41,Lind Coulee,L54721-1,11/28/2011,Aphanizomenon sp.,Dominant
Grant,41,Lind Coulee,L54721-1,11/28/2011,Cosmarium sp.,Present
Grant,41,Lind Coulee,L54721-1,11/28/2011,Stephanodiscus sp.,Subdominant
Grant,41,Lind Coulee,L54575-4,10/31/2011,Anabaena: trichome irregularly twisted,Present
Grant,41,Lind Coulee,L54575-4,10/31/2011,Aphanizomenon sp.,Dominant
Grant,41,Lind Coulee,L54575-4,10/31/2011,Asterionella,Present
Grant,41,Lind Coulee,L54575-4,10/31/2011,Cryptomonas sp.,Present
Grant,41,Lind Coulee,L54575-4,10/31/2011,Fragilaria sp.,Present
Grant,41,Lind Coulee,L54575-4,10/31/2011,Lyngbya sp.,Present
Grant,41,Lind Coulee,L54575-4,10/31/2011,Microcystis sp.,Present
Grant,41,Lind Coulee,L54575-4,10/31/2011,Stephanodiscus sp.,Subdominant
Grant,41,Lind Coulee,L54575-4,10/31/2011,Trachelomonas sp.,Present
Grant,41,Lind Coulee,L54575-4,10/31/2011,Woronichinia sp.,Present
Grant,41,Lind Coulee,L54539-6,10/26/2011,Aphanizomenon sp.,Dominant
Grant,41,Lind Coulee,L54539-6,10/26/2011,Asterionella,Present
Grant,41,Lind Coulee,L54539-6,10/26/2011,Cryptomonas sp.,Present
Grant,41,Lind Coulee,L54539-6,10/26/2011,Fragilaria sp.,Present
Grant,41,Lind Coulee,L54539-6,10/26/2011,Gomphonema sp.,Present
Grant,41,Lind Coulee,L54539-6,10/26/2011,Microcystis sp.,Present
Grant,41,Lind Coulee,L54539-6,10/26/2011,Staurastrum sp.,Present
Grant,41,Lind Coulee,L54539-6,10/26/2011,Stephanodiscus sp.,Subdominant
Grant,41,Lind Coulee,L54539-6,10/26/2011,Woronichinia sp.,Present
Grant,41,Lind Coulee,L54464-1,10/17/2011,Anabaena: trichome irregularly twisted,Subdominant
Grant,41,Lind Coulee,L54464-1,10/17/2011,Aphanizomenon sp.,Dominant
Grant,41,Lind Coulee,L54464-1,10/17/2011,Microcystis sp.,Present
Grant,41,Lind Coulee,L54464-1,10/17/2011,Oscillatoria sp.,Present
Grant,41,Lind Coulee,L54464-1,10/17/2011,Woronichinia sp.,Present
Grant,41,Lind Coulee,L54407-4,10/10/2011,Anabaena: trichome irregularly twisted,Present
Grant,41,Lind Coulee,L54407-4,10/10/2011,Anabaena: trichome regularly coiled,Present
Grant,41,Lind Coulee,L54407-4,10/10/2011,Aphanizomenon sp.,Dominant
Grant,41,Lind Coulee,L54407-4,10/10/2011,Fragilaria sp.,Subdominant
Grant,41,Lind Coulee,L54407-4,10/10/2011,Lyngbya sp.,Present
Grant,41,Lind Coulee,L54407-4,10/10/2011,Microcystis sp.,Present
Grant,41,Lind Coulee,L54407-4,10/10/2011,Oscillatoria sp.,Present
Grant,41,Lind Coulee,L54407-4,10/10/2011,Pediastrum sp.,Present
Grant,41,Lind Coulee,L54407-4,10/10/2011,Stephanodiscus sp.,Present
Grant,41,Lind Coulee,L54407-4,10/10/2011,Surirella sp.,Present
Grant,41,Lind Coulee,L54407-4,10/10/2011,Unicellular Green 1-3 microns,Present
Grant,41,Lind Coulee,L54407-4,10/10/2011,Woronichinia sp.,Present
Grant,41,Lind Coulee,L54357-4,10/03/2011,Anabaena: trichome irregularly twisted,Present
Grant,41,Lind Coulee,L54357-4,10/03/2011,Anabaena: trichome regularly coiled,Present
Grant,41,Lind Coulee,L54357-4,10/03/2011,Aphanizomenon sp.,Dominant
Grant,41,Lind Coulee,L54357-4,10/03/2011,Asterionella,Present
Grant,41,Lind Coulee,L54357-4,10/03/2011,Ceratium sp.,Present
Grant,41,Lind Coulee,L54357-4,10/03/2011,Cryptomonas sp.,Present
Grant,41,Lind Coulee,L54357-4,10/03/2011,Fragilaria sp.,Present
Grant,41,Lind Coulee,L54357-4,10/03/2011,Lyngbya sp.,Subdominant
Grant,41,Lind Coulee,L54357-4,10/03/2011,Microcystis sp.,Present
Grant,41,Lind Coulee,L54357-4,10/03/2011,Oocystis sp.,Present
Grant,41,Lind Coulee,L54357-4,10/03/2011,Stephanodiscus sp.,Present
Grant,41,Lind Coulee,L54357-4,10/03/2011,Synedra sp.,Present
Grant,41,Lind Coulee,L54357-4,10/03/2011,Woronichinia sp.,Present
Grant,41,Lind Coulee,L54277-2,09/27/2011,Anabaena: trichome irregularly twisted,Present
Grant,41,Lind Coulee,L54277-2,09/27/2011,Anabaena: trichome regularly coiled,Present
Grant,41,Lind Coulee,L54277-2,09/27/2011,Aphanizomenon sp.,Dominant
Grant,41,Lind Coulee,L54277-2,09/27/2011,Cryptomonas sp.,Present
Grant,41,Lind Coulee,L54277-2,09/27/2011,Fragilaria sp.,Subdominant
Grant,41,Lind Coulee,L54277-2,09/27/2011,Lyngbya sp.,Present
Grant,41,Lind Coulee,L54277-2,09/27/2011,Mallomonas sp.,Present
Grant,41,Lind Coulee,L54277-2,09/27/2011,Microcystis sp.,Present
Grant,41,Lind Coulee,L54277-2,09/27/2011,Oocystis sp.,Present
Grant,41,Lind Coulee,L54277-2,09/27/2011,Pediastrum sp.,Present
Grant,41,Lind Coulee,L54277-2,09/27/2011,Sphaerocystis sp.,Present
Grant,41,Lind Coulee,L54277-2,09/27/2011,Staurastrum sp.,Present
Grant,41,Lind Coulee,L54277-2,09/27/2011,Stephanodiscus sp.,Present
Grant,41,Lind Coulee,L54277-2,09/27/2011,Undetermined Pennate Diatom,Present
Grant,41,Lind Coulee,L54277-2,09/27/2011,Woronichinia sp.,Present
Grant,41,Lind Coulee,L54218-2,09/21/2011,Anabaena: trichome irregularly twisted,Subdominant
Grant,41,Lind Coulee,L54218-2,09/21/2011,Anabaena: trichome regularly coiled,Present
Grant,41,Lind Coulee,L54218-2,09/21/2011,Aphanizomenon sp.,Dominant
Grant,41,Lind Coulee,L54218-2,09/21/2011,Ceratium sp.,Present
Grant,41,Lind Coulee,L54218-2,09/21/2011,Cryptomonas sp.,Present
Grant,41,Lind Coulee,L54218-2,09/21/2011,Lyngbya sp.,Present
Grant,41,Lind Coulee,L54218-2,09/21/2011,Microcystis sp.,Present
Grant,41,Lind Coulee,L54218-2,09/21/2011,Oocystis sp.,Present
Grant,41,Lind Coulee,L54218-2,09/21/2011,Oscillatoria sp.,Present
Grant,41,Lind Coulee,L54218-2,09/21/2011,Woronichinia sp.,Present
Grant,41,Lind Coulee,L54047-1,08/29/2011,Anabaena: trichome irregularly twisted,Present
Grant,41,Lind Coulee,L54047-1,08/29/2011,Aphanizomenon sp.,Dominant
Grant,41,Lind Coulee,L54047-1,08/29/2011,Botryococcus sp.,Present
Grant,41,Lind Coulee,L54047-1,08/29/2011,Ceratium sp.,Present
Grant,41,Lind Coulee,L54047-1,08/29/2011,Fragilaria sp.,Present
Grant,41,Lind Coulee,L54047-1,08/29/2011,Microcystis sp.,Present
Grant,41,Lind Coulee,L54047-1,08/29/2011,Oocystis sp.,Present
Grant,41,Lind Coulee,L54047-1,08/29/2011,Oscillatoria sp.,Subdominant
Grant,41,Lind Coulee,L54047-1,08/29/2011,Stephanodiscus sp.,Present
Grant,41,Lind Coulee,L54047-1,08/29/2011,Undetermined Pennate Diatom,Present
Grant,41,Lind Coulee,L53998-1,08/22/2011,Anabaena: trichome irregularly twisted,Present
Grant,41,Lind Coulee,L53998-1,08/22/2011,Aphanizomenon sp.,Dominant
Grant,41,Lind Coulee,L53998-1,08/22/2011,Asterionella,Present
Grant,41,Lind Coulee,L53998-1,08/22/2011,Aulacoseira sp.,Present
Grant,41,Lind Coulee,L53998-1,08/22/2011,Botryococcus sp.,Present
Grant,41,Lind Coulee,L53998-1,08/22/2011,Ceratium sp.,Present
Grant,41,Lind Coulee,L53998-1,08/22/2011,Cosmarium sp.,Present
Grant,41,Lind Coulee,L53998-1,08/22/2011,Craticula sp.,Present
Grant,41,Lind Coulee,L53998-1,08/22/2011,Cryptomonas sp.,Present
Grant,41,Lind Coulee,L53998-1,08/22/2011,Fragilaria sp.,Subdominant
Grant,41,Lind Coulee,L53998-1,08/22/2011,Microcystis sp.,Present
Grant,41,Lind Coulee,L53998-1,08/22/2011,Oocystis sp.,Present
Grant,41,Lind Coulee,L53998-1,08/22/2011,Oscillatoria sp.,Present
Grant,41,Lind Coulee,L53998-1,08/22/2011,Stephanodiscus sp.,Present
Grant,41,Lind Coulee,L53998-1,08/22/2011,Undetermined Pennate Diatom,Present
Grant,41,Lind Coulee,L53998-1,08/22/2011,Unicellular Green 1-3 microns,Present
Grant,41,Lind Coulee,L53998-1,08/22/2011,Woronichinia sp.,Present
Grant,41,Lind Coulee,L53972-2,08/16/2011,Anabaena: trichome irregularly twisted,Present
Grant,41,Lind Coulee,L53972-2,08/16/2011,Anabaena: trichome regularly coiled,Present
Grant,41,Lind Coulee,L53972-2,08/16/2011,Aphanizomenon sp.,Dominant
Grant,41,Lind Coulee,L53972-2,08/16/2011,Fragilaria sp.,Present
Grant,41,Lind Coulee,L53972-2,08/16/2011,Microcystis sp.,Subdominant
Grant,41,Lind Coulee,L53972-2,08/16/2011,Oscillatoria sp.,Present
Grant,41,Lind Coulee,L53885-1,08/08/2011,Aphanizomenon sp.,Dominant
Grant,41,Lind Coulee,L53885-1,08/08/2011,Microcystis sp.,Subdominant
Grant,41,Lind Coulee #1,L54932-1,01/10/2012,Aphanizomenon sp.,Dominant
Grant,41,Lind Coulee #1,L54932-1,01/10/2012,Cryptomonas sp.,Present
Grant,41,Lind Coulee #1,L54932-1,01/10/2012,Fragilaria sp.,Present
Grant,41,Lind Coulee #1,L54932-1,01/10/2012,Stephanodiscus sp.,Subdominant
Grant,41,Lind Coulee #1,L54932-1,01/10/2012,Woronichinia sp.,Present
Grant,41,Lind Coulee #1,L54811-1,12/12/2011,Anabaena: trichome irregularly twisted,Subdominant
Grant,41,Lind Coulee #1,L54811-1,12/12/2011,Aphanizomenon sp.,Dominant
Grant,41,Lind Coulee #1,L54811-2,12/12/2011,Aphanizomenon sp.,Dominant
Grant,41,Lind Coulee #1,L54811-2,12/12/2011,Stephanodiscus sp.,Present
Grant,41,Lind Coulee #1,L54811-1,12/12/2011,Stephanodiscus sp.,Present
Grant,41,Lind Coulee #1,L54811-2,12/12/2011,Woronichinia sp.,Subdominant
Grant,41,Lind Coulee #1,L54763-1,12/06/2011,Anabaena: trichome irregularly twisted,Present
Grant,41,Lind Coulee #1,L54763-2,12/06/2011,Anabaena: trichome irregularly twisted,Present
Grant,41,Lind Coulee #1,L54763-2,12/06/2011,Aphanizomenon sp.,Dominant
Grant,41,Lind Coulee #1,L54763-1,12/06/2011,Aphanizomenon sp.,Dominant
Grant,41,Lind Coulee #1,L54763-2,12/06/2011,Cryptomonas sp.,Present
Grant,41,Lind Coulee #1,L54763-1,12/06/2011,Fragilaria sp.,Present
Grant,41,Lind Coulee #1,L54763-1,12/06/2011,Stephanodiscus sp.,Subdominant
Grant,41,Lind Coulee #1,L54763-2,12/06/2011,Stephanodiscus sp.,Subdominant
Grant,41,Lind Coulee #1,L54662-2,11/14/2011,Anabaena: trichome irregularly twisted,Present
Grant,41,Lind Coulee #1,L54662-2,11/14/2011,Aphanizomenon sp.,Subdominant
Grant,41,Lind Coulee #1,L54662-1,11/14/2011,Aphanizomenon sp.,Subdominant
Grant,41,Lind Coulee #1,L54662-1,11/14/2011,Asterionella,Present
Grant,41,Lind Coulee #1,L54662-2,11/14/2011,Asterionella,Present
Grant,41,Lind Coulee #1,L54662-2,11/14/2011,Cryptomonas sp.,Present
Grant,41,Lind Coulee #1,L54662-1,11/14/2011,Cryptomonas sp.,Present
Grant,41,Lind Coulee #1,L54662-1,11/14/2011,Fragilaria sp.,Present
Grant,41,Lind Coulee #1,L54662-2,11/14/2011,Fragilaria sp.,Present
Grant,41,Lind Coulee #1,L54662-2,11/14/2011,Lyngbya sp.,Present
Grant,41,Lind Coulee #1,L54662-2,11/14/2011,Microcystis sp.,Present
Grant,41,Lind Coulee #1,L54662-1,11/14/2011,Microcystis sp.,Present
Grant,41,Lind Coulee #1,L54662-2,11/14/2011,Schroederia sp.,Present
Grant,41,Lind Coulee #1,L54662-2,11/14/2011,Staurastrum sp.,Present
Grant,41,Lind Coulee #1,L54662-2,11/14/2011,Stephanodiscus sp.,Dominant
Grant,41,Lind Coulee #1,L54662-1,11/14/2011,Stephanodiscus sp.,Dominant
Grant,41,Lind Coulee #1,L54662-1,11/14/2011,Woronichinia sp.,Present
Grant,41,Lind Coulee #1,L54662-2,11/14/2011,Woronichinia sp.,Present
Grant,41,Lind Coulee #1,L54173-1,09/14/2011,Anabaena: trichome irregularly twisted,Present
Grant,41,Lind Coulee #1,L54173-2,09/14/2011,Anabaena: trichome irregularly twisted,Present
Grant,41,Lind Coulee #1,L54173-2,09/14/2011,Aphanizomenon sp.,Dominant
Grant,41,Lind Coulee #1,L54173-1,09/14/2011,Aphanizomenon sp.,Dominant
Grant,41,Lind Coulee #1,L54173-1,09/14/2011,Ceratium sp.,Present
Grant,41,Lind Coulee #1,L54173-2,09/14/2011,Cryptomonas sp.,Present
Grant,41,Lind Coulee #1,L54173-2,09/14/2011,Fragilaria sp.,Present
Grant,41,Lind Coulee #1,L54173-1,09/14/2011,Microcystis sp.,Subdominant
Grant,41,Lind Coulee #1,L54173-2,09/14/2011,Oocystis sp.,Present
Grant,41,Lind Coulee #1,L54173-2,09/14/2011,Woronichinia sp.,Subdominant
Grant,41,Lind Coulee #1,L54173-1,09/14/2011,Woronichinia sp.,Present
Grant,41,Lind Coulee B,L53998-2,08/22/2011,Anabaena: trichome irregularly twisted,Present
Grant,41,Lind Coulee B,L53998-2,08/22/2011,Anacystis sp.,Present
Grant,41,Lind Coulee B,L53998-2,08/22/2011,Aphanizomenon sp.,Dominant
Grant,41,Lind Coulee B,L53998-2,08/22/2011,Asterionella,Present
Grant,41,Lind Coulee B,L53998-2,08/22/2011,Aulacoseira sp.,Present
Grant,41,Lind Coulee B,L53998-2,08/22/2011,Ceratium sp.,Present
Grant,41,Lind Coulee B,L53998-2,08/22/2011,Cryptomonas sp.,Present
Grant,41,Lind Coulee B,L53998-2,08/22/2011,Cymbella sp.,Present
Grant,41,Lind Coulee B,L53998-2,08/22/2011,Fragilaria sp.,Subdominant
Grant,41,Lind Coulee B,L53998-2,08/22/2011,Oocystis sp.,Present
Grant,41,Lind Coulee B,L53998-2,08/22/2011,Oscillatoria sp.,Present
Grant,41,Lind Coulee B,L53998-2,08/22/2011,Pediastrum sp.,Present
Grant,41,Lind Coulee B,L53998-2,08/22/2011,Sphaerocystis sp.,Present
Grant,41,Lind Coulee B,L53998-2,08/22/2011,Unicellular Green 1-3 microns,Present
Grant,41,Mardon,L53972-3,08/16/2011,Anabaena: trichome irregularly twisted,Present
Grant,41,Mardon,L53972-3,08/16/2011,Ankistrodesmus sp.,Present
Grant,41,Mardon,L53972-3,08/16/2011,Aphanizomenon sp.,Present
Grant,41,Mardon,L53972-3,08/16/2011,Asterionella,Present
Grant,41,Mardon,L53972-3,08/16/2011,Craticula sp.,Present
Grant,41,Mardon,L53972-3,08/16/2011,Cryptomonas sp.,Present
Grant,41,Mardon,L53972-3,08/16/2011,Fragilaria sp.,Subdominant
Grant,41,Mardon,L53972-3,08/16/2011,Lyngbya sp.,Dominant
Grant,41,Mardon,L53972-3,08/16/2011,Navicula sp.,Present
